ccp,HS_GPA,medianIncome,TERM_GPA,Early_alert,Persist,Retained,Scholarship Level_1.0,Scholarship Level_2.0,Scholarship Level_3.0,Scholarship Level_4.0,Scholarship Level_5.0,SEX_M,OBOR_RANK_JR,OBOR_RANK_NU,OBOR_RANK_SO,OBOR_RANK_SR,LIVING_CODE_OTHER
18.0,4.0,53558.0,3.56,0,1,1,1,0,0,0,0,0,0,0,0,0,1
44.0,3.874,39355.0,2.29,1,1,1,1,0,0,0,0,1,0,0,1,0,1
33.0,4.27,87288.0,3.77,0,1,1,1,0,0,0,0,0,0,1,0,0,1
42.0,4.227,74393.0,4.0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
21.0,4.267,63577.0,4.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
6.0,4.04,76909.0,4.0,0,1,1,1,0,0,0,0,1,0,0,0,0,1
33.0,3.964,57236.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
31.0,4.191,75000.0,3.63,0,1,1,1,0,0,0,0,1,0,1,0,0,1
18.0,4.256,62881.0,3.63,0,1,1,1,0,0,0,0,0,0,0,0,0,0
14.0,4.297,75905.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
29.0,4.465,82528.0,0.0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
44.0,4.446,75906.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,1
18.0,3.954,57749.0,3.8,0,1,1,1,0,0,0,0,1,0,0,0,0,1
53.0,4.0,70276.0,4.0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
47.0,4.0,57817.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
29.0,4.137,63007.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
34.0,3.984,67815.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
37.0,3.99,55310.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
24.0,4.098,89779.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
33.0,4.397,32382.0,4.0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
52.0,4.0,66996.0,4.0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
23.0,4.415,92200.0,4.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
18.0,4.344,60534.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
28.0,4.387,127186.0,3.41,0,1,1,1,0,0,0,0,0,0,0,0,0,0
34.0,4.226,70278.0,3.5,0,1,1,1,0,0,0,0,0,0,0,1,0,0
32.0,4.421,86700.0,3.83,0,1,1,1,0,0,0,0,0,0,0,1,0,0
24.0,3.915,59622.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
19.0,4.527,67051.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
42.0,4.366,101269.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
29.0,4.344,57201.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
13.0,4.143,138323.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
29.0,4.313,62544.0,3.81,0,1,1,1,0,0,0,0,0,0,0,1,0,0
3.0,4.351,56889.0,3.77,0,1,1,1,0,0,0,0,0,0,0,0,0,0
46.0,4.649,36727.0,3.8,0,1,1,1,0,0,0,0,1,0,0,1,0,0
18.0,4.5,83044.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
41.0,4.527,75966.0,4.0,0,1,1,1,0,0,0,0,0,0,0,1,0,1
6.0,4.167,86261.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
18.0,4.076,101447.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
14.0,4.187,106514.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
15.0,3.866,88875.0,3.73,0,1,1,1,0,0,0,0,0,0,0,0,0,0
6.0,4.238,92227.0,4.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
14.0,4.381,150447.0,3.83,0,1,1,1,0,0,0,0,1,0,0,0,0,0
17.0,3.961,68306.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
11.0,4.208,72395.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
30.0,4.384,116317.0,3.56,0,1,1,1,0,0,0,0,0,0,0,1,0,0
22.0,4.157,76714.0,3.67,0,1,1,1,0,0,0,0,1,0,0,0,0,0
27.0,4.087,51679.0,4.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
21.0,3.899,91530.0,3.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
